seq,stddev,N_IN_Conn_P_Src,N_IN_Conn_P_Dst,duration,pkts,bytes,srate,drate,proto,state,label
15796,2.1469751409385522,14,72,11.887576652005583,339,174454,740.2692138275797,42.91742986259295,tcp,FIN,normal
861,1.8724842928351761,88,70,90.66426858718646,2110,223444,4503.303187172318,5.6485147088751635,tcp,CON,dos
76821,0.6842372097863669,180,66,13.257640653643225,89,190663,4674.270579667276,77.67465071684263,tcp,CON,reconnaissance
54887,0.08158280731451467,17,12,109.7347734164347,1660,157328,3303.0823880074313,9.003708241815023,udp,CON,dos
6266,2.1093326377838126,65,54,33.161438856269115,992,69907,1515.8431325497058,89.08396077998795,tcp,CON,normal
82387,4.657489259401041,82,24,69.07234602473584,4310,86445,78251.66873862667,86.75746190478932,tcp,CON,ddos
37195,0.4119545010723842,20,26,14.059302855652657,3890,320519,3007.6571802940853,97.10899248175619,udp,CON,dos
87499,0.5862888239634185,31,24,32.33990906634278,3815,195936,1956.3157830485193,90.84412428049437,udp,FIN,dos
44132,0.30466747229718116,86,14,48.47520126340916,152,18732,1436.30751214181,97.14076542163367,icmp,CON,normal
60264,1.290348154043213,20,95,58.446378153085035,8180,373776,21058.697906648344,88.72762441747103,tcp,CON,ddos
16024,0.2523464558941263,69,55,0.009099650091285334,708,157266,1086.9974617442501,11.25086050424734,tcp,CON,normal
41091,0.6605366290155373,24,20,106.63880282989383,630,330108,3265.1843147504487,43.76818631430055,tcp,CON,dos
67222,1.7910981370098797,47,73,0.921969472255695,430,215144,110737.0766473962,7.6156361811234525,tcp,INT,ddos
64821,1.2318662768495134,10,23,92.842373874768,421,286341,1924.8417790717854,54.52982066793366,tcp,CON,normal
770,0.732770995278659,55,48,56.46999890385215,6850,114654,15239.630814017726,52.975676147918584,tcp,CON,ddos
59736,0.8177364240179423,97,76,62.86607910814026,2450,406177,64.1302276260819,92.21783601162929,udp,INT,dos
62956,1.2386843359939363,52,64,24.99264925466557,566,466923,2029.5876847464206,96.96947451149833,tcp,FIN,normal
64926,0.00882298941011347,31,51,72.88459467313415,2530,393559,29072.787480923133,25.964404682514186,tcp,CON,ddos
67970,0.12264481657363788,12,84,64.4682918684251,9990,14268,40321.13948718753,58.23128497620902,tcp,CON,ddos
5312,3.1962041661484335,23,14,19.709204558028826,811,305198,1208.4252055415272,46.44417896529488,tcp,CON,theft
83105,0.12161822364563442,11,61,28.57504204290495,708,454275,3320.7717456106006,54.67351747409527,tcp,FIN,normal
53708,1.8403688616428637,70,31,8.029368577865847,2420,241252,3192.6076527938776,53.172809508898396,tcp,CON,dos
85306,3.7893087142449238,41,86,7.954962367162232,293,485202,4561.531392101618,91.41244092026338,tcp,CON,normal
28694,0.47347144173972955,141,53,1.6540805385052355,217,439567,3498.754599731883,89.61257752523028,udp,CON,reconnaissance
71933,0.6942237342380728,55,94,26.457698583644568,1690,434907,20619.76022090312,12.273668193723164,udp,FIN,ddos
93017,1.262197278711272,51,68,81.55966762641928,734,215186,3757.996987097298,34.51101784168614,tcp,CON,normal
25659,3.201910997989668,15,34,37.946530361694606,6400,187458,22660.529649398533,75.2775073592789,tcp,CON,ddos
84479,4.268528679031254,50,30,41.128769649815325,385,460294,2793.0485696302053,68.3987105830063,tcp,INT,normal
18432,2.018092863481588,34,73,15.829515285260108,861,22770,385.483339606016,63.119255560952425,udp,FIN,normal
2748,0.1359045192876079,20,77,69.05690464810274,160,390531,5918.013808313663,99.3810432296497,tcp,CON,ddos
59151,1.6591541081712387,150,56,41.05789484196692,37,170441,2321.2035401217177,33.693505729828196,tcp,INT,reconnaissance
65726,0.7922214861953494,80,44,81.15834009482234,4210,426057,13125.182721409323,51.524870578192605,udp,CON,ddos
84655,0.9543026826692782,66,96,88.97539480163756,4515,268447,1533.402357749918,97.91503732512746,tcp,INT,dos
35774,0.07559589708967523,55,16,70.1635603369306,1480,49967,1694.2330082289486,69.55522786122464,tcp,CON,dos
67436,0.31804976241503075,95,65,33.129068347907534,435,401636,3847.157652543768,64.86802721875087,udp,FIN,normal
56887,2.3446447412360367,57,61,61.03342731267117,3200,117027,41586.68144719912,15.474724005099883,tcp,CON,ddos
66804,0.9075913630968406,72,55,30.23244463107172,737,146838,2471.5514945906666,24.66569034453927,udp,INT,theft
31552,0.5385785981215659,48,18,108.34963732963482,626,392591,3862.9523914095007,37.74731893867017,udp,INT,normal
11395,0.7268089202352707,19,67,91.96652362415679,5340,379553,25614.27611046812,46.48471003633045,udp,FIN,ddos
69093,2.890333201022599,94,32,59.161215714761944,1495,332564,4024.506471450614,49.72102397051575,udp,INT,dos
3891,2.0734476377050925,79,12,115.8548917242344,574,49451,4158.990805330136,90.21371814296457,udp,CON,normal
41607,0.47683134381930165,74,70,65.61110685217582,694,166187,4944.235091166404,10.721198570894586,tcp,CON,theft
96277,0.18749786310501698,68,18,39.42492869935682,9230,408344,55507.34973884108,24.835257005066268,tcp,FIN,ddos
80039,0.4355248852939477,261,62,11.456980627984855,797,364873,1853.3095783693147,14.36338035484418,tcp,FIN,reconnaissance
87314,3.802843906289363,45,77,65.24993363196482,160,117335,87751.40380872494,73.5310725753111,tcp,CON,ddos
10628,1.3069360326118789,36,58,103.25013297314989,9810,99673,7271.244281054704,97.05798011091275,tcp,CON,ddos
8793,1.1436822519153966,82,98,104.00638066004569,1975,219530,198.8535824981237,89.39608033877106,udp,INT,dos
73970,1.3609726988729887,192,79,72.54844343486313,277,145009,1675.0208182421875,72.33007688055453,tcp,CON,reconnaissance
43002,0.6836263631027515,79,57,47.213210149742295,6490,410102,91190.06223435492,2.152280416847252,tcp,CON,ddos
76553,2.468429629952983,270,91,78.0359066745735,283,172816,582.3605729461505,34.70308699974486,tcp,CON,reconnaissance
23898,1.1112586073740576,62,16,91.45708040673019,3195,410567,3177.7706863773574,86.36180500027459,tcp,INT,dos
68149,0.1862169274465378,69,40,49.39556250251074,9990,289197,33689.98439929207,65.30702539609365,tcp,FIN,ddos
23484,0.20728211266152716,70,65,57.151024051621825,86,320691,3258.4081959602327,20.96013212498947,tcp,CON,normal
48556,1.1545860779165684,45,70,81.67427626904578,2070,155782,57123.37304585593,46.648713466859036,tcp,FIN,ddos
17160,4.13673267197787,94,14,105.19843607972346,4375,264674,575.8468613059757,8.791813164505747,udp,CON,dos
80078,0.5530174488353934,36,39,94.92145436669485,663,458881,1236.489345533388,52.080153657258855,tcp,FIN,normal
35921,3.0550463582642347,50,31,2.6879419270725218,5630,146302,27466.169952249697,90.10284476851633,tcp,CON,ddos
92068,2.1664928758186193,37,26,14.925556881806754,4770,86820,20575.162627139485,3.871884633696676,udp,CON,ddos
67122,0.42715436265301143,25,19,102.33352885608232,3715,39242,2341.7804074790442,61.3891525079295,udp,CON,dos
69480,0.0555262803226827,132,80,100.05890554257599,592,176157,4773.3322300310465,23.310269799887863,tcp,CON,reconnaissance
89476,0.16112271267314512,45,77,46.65742517106195,655,188607,3290.478192574906,99.03850721788558,tcp,FIN,dos
19458,1.9556561951315992,65,51,70.11376640499752,4000,222365,104500.66393218476,6.510172070353493,udp,FIN,ddos
66558,0.3340962135822368,28,36,108.70149204645513,680,143521,4905.402837138465,61.729138308389,tcp,INT,dos
77190,0.696082246937047,66,16,109.38713016217055,1730,220647,2703.1592537015194,25.63706877591414,tcp,CON,dos
78954,1.0448269500277867,282,32,93.97135839846113,170,255202,1190.426571424307,88.24630625479328,tcp,CON,reconnaissance
52996,1.9390320942381396,42,84,25.151463014223115,4845,214180,4639.062254117229,12.1929799339065,tcp,CON,dos
40758,0.180256516150916,32,17,87.63420659966603,815,243713,3494.950046959883,42.92526128040931,udp,INT,dos
9693,0.7822394907711205,72,17,12.132710783214446,199,328337,4794.710408609029,18.53615449627367,tcp,CON,normal
45759,0.9955949392371106,79,14,107.27272119608884,968,124512,3255.194705081453,79.94437223866822,tcp,URP,normal
72410,1.1674925594008478,93,80,17.898707280642164,739,431605,3875.7475356453547,35.14435663214106,udp,CON,reconnaissance
71212,2.5585981558392366,76,95,79.482174464734,48,402139,4453.191910274914,18.671319845619315,icmp,CON,normal
65698,0.28253032016035684,89,11,73.22958266700759,822,185014,3796.270632669255,72.5901068076631,tcp,FIN,normal
37066,2.4740736554611344,68,97,93.2281818058941,765,86999,2813.272595486409,81.72173178312964,tcp,INT,normal
92094,1.770767413191801,34,60,66.1897487055123,2470,432149,2359.6574692141357,46.239548736964245,udp,CON,dos
99300,1.2174596997883858,26,75,7.1489294785124855,103,413375,4116.904336830736,37.88494022589551,tcp,FIN,normal
32607,1.8036004141081323,48,21,84.70184463904386,2740,216389,3859.95186552216,63.21441923770895,udp,FIN,dos
11535,0.7965877497355678,86,56,45.97916390567331,60,126806,45805.43691431722,65.13965889391736,tcp,FIN,ddos
