flow_duration,total_fwd_packets,total_bwd_packets,fwd_pkt_len_max,fwd_pkt_len_min,bwd_pkt_len_max,bwd_pkt_len_min,flow_bytes_s,flow_pkts_s,flow_iat_mean,flow_iat_std,active_mean,idle_mean,label
6423488,77,300,449,40,954,9,713599.6058306418,8310.547760533245,29271.736837065724,11481.327585374165,40350.27464927633,922668.5454408036,dos
6550734,281,211,1491,57,1820,21,154918.93619103724,3831.6932454750067,37298.68219825165,19608.99772437951,8568.09068156783,803484.427459605,normal
4304672,364,404,1453,40,450,62,523395.37582991325,4829.09867672731,4631.129034956046,14548.770177221677,60594.31034866728,454480.92437320965,dos
2234589,179,406,1414,20,1168,24,245132.06837455303,7324.886140967692,43708.044433893505,16366.731756906609,34788.87735895294,532470.2406303483,dos
9958714,1904,221,1152,4,1025,28,511809.78178418556,24926.019179258037,36368.67572909138,6284.450336297298,76074.50361225902,335375.5476377628,ddos
9524782,135,216,865,57,1311,38,750011.1754664909,2623.5075751487166,26668.60784485321,4378.254557100516,99123.39222294983,143113.73890239466,normal
7204312,365,222,1750,34,917,14,265981.1294566875,1547.6044834311201,625.958596809938,4519.243941803377,38153.27005186787,268021.8072669399,portscan
9628619,390,410,55,13,1894,18,347898.8117336945,7680.839320761645,34728.99294094256,9665.637692040877,74194.4923040866,357900.65658554895,normal
4472571,280,97,1133,14,1248,38,723000.5679583253,975.3083921203829,22368.058497082224,17169.60449956063,29523.871772617837,555500.6340976604,normal
4523769,19,455,1040,5,953,57,546338.095965995,4890.080724318682,36836.49380585724,4327.398341389972,81125.63121247319,282326.4674618781,bot
7404952,83,18,993,15,1460,45,94566.62645297332,7499.1213857605335,365.6310954336114,11406.362761690492,68300.1746474371,323019.3518751211,portscan
4981605,228,296,1458,22,213,52,758154.2692468478,5077.667586449099,28742.22686161244,16175.895141379562,24921.50645659926,548104.6860424416,dos
1766991,371,25,1037,59,1966,45,277438.99256812764,5086.818091647358,22356.54268228856,10007.124572297578,46063.90964525222,282454.9030719788,normal
4521473,265,27,1339,30,899,17,385057.7345418712,636.8411108808413,21496.468577064163,8338.051095194254,80615.41933669067,971928.5563073814,dos
6019977,112,63,1885,41,1189,41,245176.92429004566,7828.633837443796,25883.428241593967,6930.64161858661,70945.69546122117,446361.8982274611,dos
3344869,251,323,732,45,372,2,543357.0204718058,6040.116494080415,6192.205344483735,12008.971251558696,3162.7616085987297,807948.9528803849,normal
9180451,1312,222,1089,62,652,5,707768.3026246228,100127.45793810693,46773.22862242869,16353.822741623044,154.54228844904438,680529.0198630004,ddos
103455,358,79,507,11,1852,60,803216.3614105335,7658.019249189851,7047.611691853706,19922.61292729924,75385.66354884364,135258.78756614373,portscan
1262852,168,50,638,40,506,21,922122.2768267122,5606.221956923879,4251.615772044892,17387.188720484482,45365.1446131155,781873.2725429275,normal
9784733,1768,457,189,54,982,54,359216.65165396576,76294.18650424984,3982.186108345148,9055.00393268729,51148.559629731506,247894.36599398628,ddos
5664889,3264,101,165,18,575,53,932614.2306665984,99475.29134764166,10540.986820350896,1584.840080136325,96464.93125113704,891083.9760576887,ddos
9696079,304,175,887,11,332,63,616954.7442848055,9000.091694076053,2398.7455709700553,2410.745206879792,13221.565800112588,721861.84754493,portscan
9305748,191,9,439,44,211,40,389594.5439924872,6385.008447837318,24612.593155394166,586.5009657432596,3221.5129421539477,717195.8548995313,dos
5743166,325,236,1733,54,288,45,887294.0486978189,7883.238675376014,26827.40603870739,7253.26478709573,18897.124595351168,305891.75911941315,normal
6113890,437,456,592,12,609,52,579629.5053008922,4802.769491405267,7298.931781933457,9631.025095537982,71253.97917467597,392860.74061571265,normal
4721439,438,422,1979,48,165,30,454283.5286797702,5895.760447786993,48676.862688834866,16412.185583463164,18216.6798375044,731515.2466430747,normal
9889650,170,99,1046,1,125,20,11501.550327135845,1801.5784253629113,8248.03985828196,1714.6779407368151,52864.82636994116,363473.03696614364,portscan
3275809,375,498,1637,19,1180,55,717507.8900915865,4885.231607464727,31678.051817634416,4562.387714780456,85564.63529640279,452903.07532491046,dos
84754,45,377,1306,54,1785,7,77347.9946988418,1488.9842807237847,13902.49605165979,10213.037426642739,84037.9159701184,558926.5887706402,normal
5147681,381,227,818,30,1596,0,289392.8280219343,4670.267759536871,45517.89476769584,16995.526685107387,21027.672890714555,298326.68786488695,normal
1954454,474,402,340,8,1055,2,961694.3425160353,649.6103413035647,15769.04029577362,1752.7870243005862,89719.1177215671,763297.5622257814,normal
8242780,112,63,1650,62,1930,28,155213.1051230514,86431.74224610798,15968.668185219643,4868.7190566850695,99383.13698831893,274604.33425910235,ddos
2428488,231,379,1619,20,273,53,311784.35587324604,2867.425799254391,17652.771912341275,10878.096205551099,97401.84286876748,52898.9627846006,normal
8916886,157,18,265,62,1324,5,932339.3598051531,8416.454273507265,481.2549963875593,6487.299993398053,89119.10996374315,786782.2766356417,portscan
2663146,134,331,1632,7,1044,32,337683.81810687366,3762.699658061989,3102.0823541527516,19847.953650879597,6311.654783763354,371268.2084207525,normal
5499820,391,317,496,38,1547,17,328674.975553661,9177.740732755385,23795.404759908324,9042.658121887014,62718.05888470391,845892.2405021109,bot
6641013,37,140,1302,36,1779,41,647954.5868981706,4728.929092220824,8817.770571192264,18227.14046436516,43996.17123902534,623687.117996323,portscan
3416764,53,24,1136,28,614,54,131357.23986484128,8488.745279933826,9423.862893253914,18817.755922968958,27929.706346353032,831015.7231958797,portscan
3385759,18,227,1846,18,275,48,972751.7097271434,2972.7849254136186,38788.15132685018,5188.65333254342,31551.723867769633,381493.7412783359,normal
3385457,471,88,802,34,1030,57,275022.64505440043,4516.07602053152,20227.04541105805,6530.016072490949,94308.09827649718,559513.0023221542,normal
1465789,492,91,552,44,1882,52,785688.8320077898,6336.69181090542,15531.472505579399,6482.73669948277,95202.32603210016,12663.118989583278,dos
68248,38,41,1617,37,1015,0,287614.35002176283,2586.5830350753263,10793.071312494194,8726.240054989637,10126.089686843321,257055.71353368118,normal
1825765,1496,372,1382,25,1478,21,275372.4094284936,98599.76297905715,26927.117797209194,1263.0132640413217,20367.01163247454,874525.7773235131,ddos
2745783,385,294,1967,10,1153,30,57512.708060414974,2886.0947488451743,24128.201196516577,16147.078882243837,91796.76148498728,440810.9651463388,normal
4056618,196,413,1303,35,1322,22,119320.65971931705,4842.978301102552,4670.033627882765,2617.0865289821245,61392.49466556298,635884.779883245,portscan
2670095,243,388,256,34,96,7,521967.3094475673,233.79568586400356,3163.59714459123,17873.30152257553,70629.20482543593,279895.18734088884,portscan
4997995,300,80,1184,3,276,28,576843.1821090425,781.9154036056879,29100.5249646574,11531.63576872105,34751.253372261315,852567.2433299341,normal
6398086,2424,401,994,2,1308,43,815843.5210640067,34066.33806867946,30400.510934513273,9629.752908111583,24130.310323377525,593530.7775238346,ddos
1871028,35,106,1990,44,799,50,60215.189645918435,8064.94937730154,43760.97776704251,13215.76969574477,44548.05795865991,907959.8747906708,normal
4155399,1720,110,1987,46,1196,45,356150.18567476486,99058.13844145027,38072.54815420083,18662.014613576644,34075.44421548107,243582.71153613497,ddos
6249959,219,276,698,11,331,61,200158.850653822,8934.491925830085,16501.159951520243,5933.339954309454,94453.44196881069,727370.9059031273,bot
2305513,316,213,1523,31,204,18,357877.5107218197,9047.118734549596,18983.04944689673,5403.715715329895,16491.573735206945,20491.86546463311,normal
3910297,90,230,598,46,102,58,354306.6662505161,3746.776552922376,11982.600215310786,7397.561112149036,99171.58222559295,597791.3849066397,normal
5558119,308,305,1393,62,1003,48,354279.77075372497,3675.372308663746,8550.902290375136,9736.173184424062,90645.5268530643,301455.5263625048,normal
5414809,252,120,1613,25,1648,59,309633.43380838673,8357.44692168253,5453.48920313257,1514.0918369479484,57115.31664831198,123194.4259335921,bot
271936,8,133,1767,42,954,15,763978.0976739593,4264.490056357695,1715.6814812515029,13599.744135942225,34242.60435214227,626746.6382447924,normal
3584802,256,305,149,42,359,18,689706.2869558097,8572.027328452285,20889.90809579827,10417.8896334277,72364.42733501896,29108.59173075708,normal
7281469,363,207,1580,12,1154,36,341469.2286151024,5059.347766556043,47956.501100264795,10798.357963764234,48066.44772213335,156281.59951174815,normal
2299535,208,449,30,43,38,21,146488.10241985877,4247.188771037594,26905.203173175534,4992.92624003806,37493.57950787495,370742.52283280576,dos
8585477,3400,370,276,37,306,18,518280.3673409924,41861.56606253276,37110.42252833641,16811.99550848239,33252.3168781338,446819.6513789312,ddos
2658605,131,256,835,28,883,3,918847.6203048516,1264.9557958792768,19892.13748529996,7961.179928698436,8017.541281910368,908264.9925634295,normal
1271841,224,184,388,54,519,4,123559.34085990216,5259.0704845485725,19226.42384556246,13045.256032416455,43468.049505236115,335070.9530141613,dos
3769415,197,285,963,51,877,4,753029.8479498976,3252.3186303969082,6268.870367055616,4801.219946727007,24783.9057821024,51147.7162469125,normal
1046897,468,441,1437,50,45,24,599379.0621341188,2494.477275831954,14999.569192434867,16325.84808519691,1948.3429255678252,962279.6631894947,dos
3047362,142,362,1636,18,193,23,588590.125044273,1696.6846968341033,46434.31114356637,5994.323079457901,23330.228117570863,830803.2036580741,normal
9973106,252,179,1841,58,1541,0,934657.1730454769,3886.2823494986023,4903.034832470484,18433.73792457617,23476.618350613022,227434.30678048704,portscan
564785,96,420,1462,34,1903,49,955940.5872977413,5558.772028165972,10225.09072763372,9095.85205434551,30222.606995834365,515424.5526554732,dos
2879290,26,47,901,47,1593,27,243839.73885580068,8370.275938640938,6638.209951270845,2903.001667430347,94535.7656573099,155368.7277043948,portscan
5596511,111,86,38,40,1192,46,808477.0327223679,8201.918016385582,20278.34130860092,12223.885312603179,89964.93305124072,955655.7415949192,normal
